filename,case_name,citation,decision_date,year,court,court_level,opinion_type,author,status,overruled_by,topic,notes,,,
marsh_v_calloway_state_college_majority_1971.txt,Marsh v. Board of Regents of Calloway State College,412 F.2d 118 (4th Cir. 1971),14-05-1971,1971,United States Court of Appeals for the Fourth Circuit,circuit,majority,Judge Adelaide Prewitt,superseded,whitfield_v_milford_university_majority_1974.txt,Standard of Review,Pre-Whitfield case applying rational-basis review to a race-conscious admissions plan; later abrogated once Whitfield establishes heightened scrutiny.,,,
whitfield_v_milford_university_majority_1974.txt,Whitfield v. Board of Regents of Milford University,417 U.S. 226 (1974),10-06-1974,1974,Supreme Court of the United States,scotus,majority,Justice Alden T. Marsh,limited,harmon_v_ashworth_university_majority_2023.txt,Compelling Interest - Diversity Rationale,Foundational case holding that a university's interest in a diverse student body can be compelling under the Equal Protection Clause; later overruled in part by Harmon.,,,
whitfield_v_milford_university_concurrence_1974.txt,Whitfield v. Board of Regents of Milford University,417 U.S. 226 (1974),10-06-1974,1974,Supreme Court of the United States,scotus,concurrence,Justice Ines Okafor,limited,harmon_v_ashworth_university_majority_2023.txt,Compelling Interest - Remedial Rationale,Concurrence arguing the compelling interest should rest on remedying identified past discrimination rather than diversity generally.,,,
whitfield_v_milford_university_dissent_1974.txt,Whitfield v. Board of Regents of Milford University,417 U.S. 226 (1974),10-06-1974,1974,Supreme Court of the United States,scotus,dissent,Justice Hollis Vance,active,,Strict Scrutiny - Colorblind Constitution,Early articulation of the colorblind-constitution dissenting view later adopted by the Harmon majority in 2023.,,,
delgado_v_trent_institute_of_technology_majority_1976.txt,Delgado v. Trent Institute of Technology,538 F.2d 902 (3d Cir. 1976),02-03-1976,1976,United States Court of Appeals for the Third Circuit,circuit,majority,Judge Marcus Feld,superseded,reyes_v_trustees_of_ashworth_university_majority_2003.txt,Narrow Tailoring - Fixed Quotas,Applies Whitfield to strike down a fixed numerical quota system as insufficiently narrowly tailored.,,,
in_re_admissions_policy_of_brennan_city_university_majority_1978.txt,In re Admissions Policy of Brennan City University,312 F. Supp. 774 (E.D. Fentress 1978),19-09-1978,1978,United States District Court for the Eastern District of Fentress,district,majority,Judge Ruth Ancelet,superseded,reyes_v_trustees_of_ashworth_university_majority_2003.txt,Narrow Tailoring - Plus-Factor Systems,Upholds a flexible plus-factor admissions system, distinguishing Delgado's quota holding.,,
doe_guidance_1975.txt,U.S. Department of Education Policy Guidance on Race-Conscious Admissions,DOE Guidance No. 75-14,03-11-1975,1975,U.S. Department of Education,agency,guidance,Office of the General Counsel,superseded,doj_guidance_1994.txt,Implementation Guidance,First federal guidance interpreting Whitfield; recommends holistic review and warns against quotas.,,,
ocr_guidance_1979.txt,Office for Civil Rights Policy Memorandum on Admissions Review Standards,OCR Memo 79-06,22-04-1979,1979,Office for Civil Rights (U.S. Department of Education),agency,guidance,Assistant Secretary for Civil Rights,superseded,ocr_guidance_2008.txt,Implementation Guidance,Elaborates on Whitfield/Delgado distinction between quotas and holistic plus-factor review.,,,
calloway_v_ashworth_state_university_majority_1986.txt,Calloway v. Ashworth State University,476 U.S. 512 (1986),24-06-1986,1986,Supreme Court of the United States,scotus,majority,Justice Desmond Ruiz,limited,harmon_v_ashworth_university_majority_2023.txt,Narrow Tailoring Test,Establishes the three-part narrow tailoring test (individualized review, no fixed quotas, periodic reassessment) and reaffirms Whitfield's diversity rationale over Okafor's remedial-only theory.,
calloway_v_ashworth_state_university_dissent_1986.txt,Calloway v. Ashworth State University,476 U.S. 512 (1986),24-06-1986,1986,Supreme Court of the United States,scotus,dissent,Justice Hollis Vance,active,,Strict Scrutiny - Colorblind Constitution,Renews the Whitfield dissent and argues stare decisis should not preserve what the dissent views as a constitutional error.,,,
